subject;sessionIndex;rep;H.period;DD.period.t;UD.period.t;H.t;DD.t.i;UD.t.i;H.i;DD.i.e;UD.i.e;H.e;DD.e.five;UD.e.five;H.five;DD.five.Shift.r;UD.five.Shift.r;H.Shift.r;DD.Shift.r.o;UD.Shift.r.o;H.o;DD.o.a;UD.o.a;H.a;DD.a.n;UD.a.n;H.n;DD.n.l;UD.n.l;H.l;DD.l.Return;UD.l.Return;H.Return
Bohdan;1;11;0.0733;0.2788;0.2055;0.1097;0.219;0.1093;0.0745;0.1926;0.1181;0.1381;0.3637;0.2256;0.059;0.3707;0.3117;0.0717;0.5843;0.5126;0.0582;0.1966;0.1384;0.1039;0.2282;0.1243;0.0601;0.2833;0.2232;0.0835;0.1962;0.1127;0.1281
Bohdan;1;12;0.0901;0.2968;0.2067;0.116;0.1527;0.0367;0.0797;0.2948;0.2151;0.0527;0.2599;0.2072;0.0709;0.5869;0.516;0.0769;0.5796;0.5027;0.0765;0.2182;0.1417;0.1028;0.3102;0.2074;0.0528;0.2921;0.2393;0.0599;0.3813;0.3214;0.0747
Bohdan;1;13;0.0889;0.2983;0.2094;0.0698;0.2184;0.1486;0.1156;0.3418;0.2262;0.0702;0.3792;0.309;0.0548;0.2898;0.235;0.0658;0.5786;0.5128;0.055;0.2723;0.2173;0.1498;0.1863;0.0365;0.0652;0.4201;0.3549;0.0721;0.2136;0.1415;0.0742
Bohdan;1;14;0.1143;0.2227;0.1084;0.1377;0.2583;0.1206;0.0574;0.1959;0.1385;0.1389;0.3423;0.2034;0.0528;0.3933;0.3405;0.054;0.7631;0.7091;0.1137;0.3228;0.2091;0.0918;0.2604;0.1686;0.0578;0.5787;0.5209;0.0817;0.2901;0.2084;0.0914
Bohdan;1;15;0.118;0.2365;0.1185;0.1344;0.2391;0.1047;0.0584;0.167;0.1086;0.0894;0.4384;0.349;0.1162;0.3923;0.2761;0.062;0.5727;0.5107;0.0757;0.2133;0.1376;0.1261;0.2379;0.1118;0.0942;0.3143;0.2201;0.0662;0.2878;0.2216;0.0915
Bohdan;2;16;0.1150;0.3573;0.2423;0.0965;0.3002;0.2037;0.0839;0.3001;0.2162;0.1157;0.3481;0.2324;0.0712;0.37;0.2988;0.0761;0.4045;0.3284;0.0698;0.3829;0.3131;0.0947;0.2236;0.1289;0.0849;0.3371;0.2522;0.0791;0.4867;0.4076;0.1047
Bohdan;2;17;0.0833;0.4933;0.4100;0.0562;0.2752;0.2190;0.0609;0.2638;0.2029;0.0668;0.7793;0.7125;0.0549;0.3626;0.3077;0.1146;0.5249;0.4103;0.0771;0.2948;0.2177;0.1055;0.2707;0.1652;0.0618;0.2678;0.2060;0.0561;0.4813;0.4252;0.0899
Bohdan;2;18;0.0828;0.294;0.2112;0.0788;0.2958;0.2170;0.0763;0.3163;0.2400;0.0703;0.4025;0.3322;0.0584;0.4528;0.3944;0.0785;0.5899;0.5114;0.0799;0.289;0.2091;0.0942;0.2412;0.1470;0.0568;0.2779;0.2211;0.0548;0.5316;0.4768;0.0925
Bohdan;2;19;0.0991;0.3119;0.2128;0.0731;0.1763;0.1032;0.0668;0.3905;0.3237;0.0708;0.3091;0.2383;0.0702;0.3395;0.2693;0.0820;0.4005;0.3185;0.0555;0.403;0.3475;0.1604;0.1723;0.0119;0.0743;0.3002;0.2259;0.0850;0.2925;0.2075;0.1027
Bohdan;2;20;0.1196;0.2232;0.1036;0.1018;0.2639;0.1621;0.0707;0.2791;0.2084;0.0863;0.3052;0.2189;0.0722;0.3314;0.2592;0.0658;0.3906;0.3248;0.0781;0.1937;0.1156;0.1578;0.195;0.0372;0.0741;0.2994;0.2253;0.1054;0.3122;0.2068;0.0698
