subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
Anna-Maria,2,5,0.0846,0.43,0.5146,0.1134,0.2505,0.3639,0.0899,0.5102,0.6001,0.124,0.8555,0.9795,0.0716,0.805,0.8766,0.204,1.1244,1.282,0.1152,0.2815,0.3967,0.1127,0.4742,0.5869,0.076,0.4623,0.5383,0.0348,1.0356,1.0704,0.0909
Anna-Maria,2,6,0.0635,0.385,0.4485,0.1078,0.3975,0.5053,0.0886,0.4611,0.5497,0.0874,0.8718,0.9592,0.0734,0.3743,0.4477,0.2261,1.0448,1.2253,0.0976,0.5641,0.6617,0.0832,0.4065,0.4897,0.0837,0.5277,0.6114,0.0786,0.5867,0.6653,0.0758
Anna-Maria,2,7,0.0794,0.5367,0.6161,0.0984,0.3415,0.4399,0.0883,0.7591,0.8474,0.0722,1.0012,1.0734,0.0733,0.411,0.4843,0.3248,1.0042,1.2131,0.1012,0.5052,0.6064,0.0883,0.2407,0.329,0.078,0.397,0.475,0.0898,1.1483,1.2381,0.0832
Anna-Maria,2,8,0.0855,0.6175,0.703,0.1154,0.2766,0.392,0.1293,0.335,0.4643,0.1142,0.8496,0.9638,0.1077,1.4843,1.592,0.2087,0.7563,0.9044,0.0995,0.2932,0.3927,0.1133,0.2359,0.3492,0.0845,0.7811,0.8656,0.1282,1.2251,1.3533,0.0842
Anna-Maria,2,9,0.0905,0.3804,0.4709,0.1274,0.3723,0.4997,0.1043,0.6486,0.7529,0.1037,1.0804,1.1841,0.1297,0.9546,1.0843,0.1787,0.6097,0.764,0.13,0.7524,0.8824,0.1284,0.7339,0.8623,0.0625,0.708,0.7705,0.0644,1.3378,1.4022,0.1012
Anna-Maria,2,10,0.1151,0.5799,0.695,0.1135,0.9702,1.0837,0.1046,0.6821,0.7867,0.1002,0.9846,1.0848,0.0815,1.3177,1.3992,0.1765,0.9946,1.1375,0.0789,0.6815,0.7604,0.0878,0.2457,0.3335,0.0973,0.6239,0.7212,0.0909,1.3749,1.4658,0.0993
Anna-Maria,2,11,0.0624,0.6187,0.6811,0.1037,0.4975,0.6012,0.1029,0.6095,0.7124,0.1026,0.9396,1.0422,0.0832,0.6591,0.7423,0.2318,0.6826,0.8897,0.1188,0.5005,0.6193,0.1338,0.276,0.4098,0.0927,0.4883,0.581,0.1039,0.5905,0.6944,0.1051
Anna-Maria,2,12,0.0798,0.6481,0.7279,0.1033,0.3114,0.4147,0.1037,0.3506,0.4543,0.1198,0.9595,1.0793,0.0924,0.6746,0.767,0.274,0.5816,0.7892,0.1384,0.2741,0.4125,0.1191,0.2501,0.3692,0.0888,0.4077,0.4965,0.0702,0.699,0.7692,0.1045
Anna-Maria,2,13,0.1456,0.7271,0.8727,0.0801,0.2502,0.3303,0.0949,0.5613,0.6562,0.0826,0.7594,0.842,0.0633,0.6333,0.6966,0.2132,0.6303,0.7933,0.095,0.3133,0.4083,0.1128,0.2625,0.3753,0.0812,0.3921,0.4733,0.0785,0.7748,0.8533,0.0697
Anna-Maria,2,14,0.1144,0.532,0.6464,0.1431,0.378,0.5211,0.104,0.9345,1.0385,0.075,1.3133,1.3883,0.0621,0.866,0.9281,0.1727,0.65,0.8028,0.0752,0.386,0.4612,0.0731,0.341,0.4141,0.0723,0.4369,0.5092,0.0498,0.9449,0.9947,0.0713
Anna-Maria,2,15,0.124,0.7733,0.8973,0.0996,0.6028,0.7024,0.1045,0.6878,0.7923,0.1081,0.3864,0.4945,0.073,0.9597,1.0327,0.1941,0.636,0.8147,0.1044,0.4409,0.5453,0.1122,0.2569,0.3691,0.1032,0.3817,0.4849,0.089,0.5007,0.5897,0.1096
